2024-06-27 14:08:13 install findutils:arm64 <none> 4.8.0-1ubuntu3
2024-06-27 14:08:13 status half-installed findutils:arm64 4.8.0-1ubuntu3
2024-06-27 14:08:13 status unpacked findutils:arm64 4.8.0-1ubuntu3
2024-06-27 14:08:13 install gcc-12-base:arm64 <none> 12-20220319-1ubuntu1
2024-06-27 14:08:13 status half-installed gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:13 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:13 install grep:arm64 <none> 3.7-1build1
2024-06-27 14:08:13 status half-installed grep:arm64 3.7-1build1
2024-06-27 14:08:13 status unpacked grep:arm64 3.7-1build1
2024-06-27 14:08:13 install gzip:arm64 <none> 1.10-4ubuntu4
2024-06-27 14:08:13 status half-installed gzip:arm64 1.10-4ubuntu4
2024-06-27 14:08:13 status unpacked gzip:arm64 1.10-4ubuntu4
2024-06-27 14:08:13 install hostname:arm64 <none> 3.23ubuntu2
2024-06-27 14:08:13 status half-installed hostname:arm64 3.23ubuntu2
2024-06-27 14:08:13 status unpacked hostname:arm64 3.23ubuntu2
2024-06-27 14:08:13 install init-system-helpers:all <none> 1.62
2024-06-27 14:08:13 status half-installed init-system-helpers:all 1.62
2024-06-27 14:08:13 status unpacked init-system-helpers:all 1.62
2024-06-27 14:08:13 install libacl1:arm64 <none> 2.3.1-1
2024-06-27 14:08:13 status half-installed libacl1:arm64 2.3.1-1
2024-06-27 14:08:13 status unpacked libacl1:arm64 2.3.1-1
2024-06-27 14:08:13 install libattr1:arm64 <none> 1:2.5.1-1build1
2024-06-27 14:08:13 status half-installed libattr1:arm64 1:2.5.1-1build1
2024-06-27 14:08:13 status unpacked libattr1:arm64 1:2.5.1-1build1
2024-06-27 14:08:13 install libaudit-common:all <none> 1:3.0.7-1build1
2024-06-27 14:08:13 status half-installed libaudit-common:all 1:3.0.7-1build1
2024-06-27 14:08:13 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-06-27 14:08:13 install libaudit1:arm64 <none> 1:3.0.7-1build1
2024-06-27 14:08:13 status half-installed libaudit1:arm64 1:3.0.7-1build1
2024-06-27 14:08:13 status unpacked libaudit1:arm64 1:3.0.7-1build1
2024-06-27 14:08:13 install libblkid1:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:13 status half-installed libblkid1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:13 status unpacked libblkid1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:13 install libbz2-1.0:arm64 <none> 1.0.8-5build1
2024-06-27 14:08:13 status half-installed libbz2-1.0:arm64 1.0.8-5build1
2024-06-27 14:08:14 status unpacked libbz2-1.0:arm64 1.0.8-5build1
2024-06-27 14:08:14 install libc-bin:arm64 <none> 2.35-0ubuntu3
2024-06-27 14:08:14 status half-installed libc-bin:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 status unpacked libc-bin:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 upgrade libc6:arm64 2.35-0ubuntu3 2.35-0ubuntu3
2024-06-27 14:08:14 status half-configured libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 status half-installed libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 status unpacked libc6:arm64 2.35-0ubuntu3
2024-06-27 14:08:14 install libcap-ng0:arm64 <none> 0.7.9-2.2build3
2024-06-27 14:08:14 status half-installed libcap-ng0:arm64 0.7.9-2.2build3
2024-06-27 14:08:14 status unpacked libcap-ng0:arm64 0.7.9-2.2build3
2024-06-27 14:08:14 install libcap2:arm64 <none> 1:2.44-1build3
2024-06-27 14:08:14 status half-installed libcap2:arm64 1:2.44-1build3
2024-06-27 14:08:14 status unpacked libcap2:arm64 1:2.44-1build3
2024-06-27 14:08:14 install libcom-err2:arm64 <none> 1.46.5-2ubuntu1
2024-06-27 14:08:14 status half-installed libcom-err2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:14 status unpacked libcom-err2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:14 install libcrypt1:arm64 <none> 1:4.4.27-1
2024-06-27 14:08:14 status half-installed libcrypt1:arm64 1:4.4.27-1
2024-06-27 14:08:14 status unpacked libcrypt1:arm64 1:4.4.27-1
2024-06-27 14:08:14 install libdb5.3:arm64 <none> 5.3.28+dfsg1-0.8ubuntu3
2024-06-27 14:08:14 status half-installed libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2024-06-27 14:08:14 status unpacked libdb5.3:arm64 5.3.28+dfsg1-0.8ubuntu3
2024-06-27 14:08:14 install libdebconfclient0:arm64 <none> 0.261ubuntu1
2024-06-27 14:08:14 status half-installed libdebconfclient0:arm64 0.261ubuntu1
2024-06-27 14:08:14 status unpacked libdebconfclient0:arm64 0.261ubuntu1
2024-06-27 14:08:14 install libext2fs2:arm64 <none> 1.46.5-2ubuntu1
2024-06-27 14:08:14 status half-installed libext2fs2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:14 status unpacked libext2fs2:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:14 install libgcc-s1:arm64 <none> 12-20220319-1ubuntu1
2024-06-27 14:08:14 status half-installed libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:14 status unpacked libgcc-s1:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:14 install libgcrypt20:arm64 <none> 1.9.4-3ubuntu3
2024-06-27 14:08:14 status half-installed libgcrypt20:arm64 1.9.4-3ubuntu3
2024-06-27 14:08:14 status unpacked libgcrypt20:arm64 1.9.4-3ubuntu3
2024-06-27 14:08:14 install libgmp10:arm64 <none> 2:6.2.1+dfsg-3ubuntu1
2024-06-27 14:08:14 status half-installed libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
2024-06-27 14:08:14 status unpacked libgmp10:arm64 2:6.2.1+dfsg-3ubuntu1
